90,2257
23,1035
255,375
1241,1372
571,2301
321,1372
259,494
8,912
261,1092
42,2482
190,394
138,204
317,2421
50,2077
291,971
148,168
15,1036
15,807
271,733
980,1947
44,2262
773,1654
439,2532
9,1258
580,2242
7,2609
2,50
0,1438
248,1274
888,2129
10,1860
53,2496
264,2679
16,1382
331,2440
425,1321
418,2365
0,391
22,2099
22,1870
268,1108
288,794
164,233
1180,1375
395,2088
9,332
978,1914
7,1454
18,1054
48,2394
3,931
748,1839
75,3022
1,67
240,2564
472,1904
102,2859
248,698
802,2075
833,1388
10,3041
249,1337
5,482
22,2112
780,973
374,2271
81,2692
12,2858
29,2273
270,1167
94,1170
39,480
610,2255
31,2053
299,1050
34,1570
608,2330
960,1964
623,881
707,1289
115,182
37,757
37,528
42,2858
393,1624
5,953
196,292
299,942
2,2641
2,426
29,300
292,1168
5,1892
429,1402
188,293
30,1656
95,2051
967,1980
253,1176
442,1866
326,1691
441,1641
147,1194
277,486
588,2334
342,881
13,1874
963,1982
20,2816
1035,1104
123,2005
847,2036
18,2477
205,354
2,1715
7,2059
265,368
1041,1821
511,1592
411,1654
338,883
1174,1384
11,488
369,1364
83,2993
556,1227
193,384
12,309
177,2362
22,2488
285,1141
508,661
0,2177
547,589
721,1708
258,486
392,2701
110,1554
309,946
40,2478
67,2352
86,2365
268,2076
698,1697
88,2411
203,671
122,2961
10,505
565,1252
322,1531
260,2602
12,2537
380,2704
10,1673
650,2299
378,2365
42,201
18,1793
93,2381
464,833
10,397
1013,1829
324,2250
396,1601
40,276
358,1080
289,980
1051,1303
940,1701
9,2360
162,387
267,2655
14,223
96,2248
34,1370
29,1026
22,1804
8,1906
328,1093
999,2015
288,728
634,1136
35,2268
1010,1127
270,1088
571,2248
672,839
1078,1298
314,865
59,2073
9,2481
66,3015
11,3079
633,2079
32,2613
211,629
99,2374
608,2251
21,505
993,1833
67,2836
642,852
790,979
35,2389
982,1940
153,2381
254,2433
567,678
450,1850
138,272
470,516
528,686
332,811
797,2079
12,3021
320,922
67,2728
767,2136
20,172
551,562
93,879
24,1045
514,909
982,1014
20,1569
474,1510
825,2262
21,747
346,2264
26,2811
554,981
213,2674
421,1391
317,745
248,645
375,1918
380,2262
1089,1261
476,2495
89,2049
188,1274
212,1631
563,922
67,2970
241,642
48,476
1,2121
4,2392
28,2749
465,535
251,283
163,2385
187,2742
283,2450
235,1241
656,1271
324,2747
418,1857
19,1882
201,1630
194,651
249,2573
44,1646
1,2242
169,2055
107,1177
847,1741
303,823
129,2922
671,990
267,1166
74,2986
34,1867
275,761
104,879
214,2471
35,2994
0,1990
905,2096
53,3048
10,197
348,2407
4,419
298,2586
1034,1688
578,654
712,1637
27,2766
168,261
4,1587
24,482
1431,1509
328,893
132,2001
468,1169
380,2517
827,1516
204,305
6,1781
291,2704
633,1650
1142,1527
38,1706
136,2012
29,1886
536,899
866,1299
7,1080
26,1093
244,498
9,1126
255,364
1153,1514
26,275
41,3064
232,380
335,1030
66,2828
369,2600
608,896
24,2831
93,2436
640,848
375,1368
5,2323
428,1194
27,2082
16,2189
348,447
26,2611
581,655
440,1433
409,1891
11,1027
408,1895
329,1373
332,853
810,1417
428,1086
557,971
271,2600
49,2487
73,2844
121,1609
463,555
571,2303
115,2023
987,1952
1116,1608
50,2079
20,1153
185,1220
429,1846
201,1201
421,1433
553,569
345,2377
314,812
272,1081
14,2506
286,750
418,2367
19,2621
399,2088
28,1623
164,235
258,2085
289,1169
230,2023
371,1962
63,1617
629,2257
340,2383
379,1328
96,2437
275,2668
471,2314
1175,1383
34,2498
221,338
6,184
83,633
336,813
410,762
458,1742
847,1554
48,1578
289,2458
233,348
4,1279
40,707
236,2568
249,292
794,2078
326,2727
49,1695
5,3049
404,1334
1,1129
288,1159
343,866
465,1758
568,1213
2,2522
34,525
1,2297
243,369
290,1124
233,590
16,592
401,2389
430,1629
5,2123
8,1640
853,1466
323,2469
142,2394
469,537
708,819
467,1696
348,2233
666,822
1311,1792
358,477
657,1002
213,2045
23,1884
381,1363
19,2179
156,198
37,2987
6,2654
30,1779
1174,1386
955,1985
79,365
1,2660
118,2013
6,3004
632,2005
7,2182
697,2400
506,1600
449,837
3,2477
624,838
424,2241
790,1773
255,1237
253,373
232,1253
15,2716
104,2007
9,1181
379,1946
279,2762
828,1772
419,2247
1176,1472
6,1849
283,2652
21,1191
2,912
86,1549
244,2660
15,622
123,155
18,2842
262,1253
530,2465
81,2373
67,2475
781,1818
91,617
98,1559
560,1590
18,1795
341,2714
702,1939
36,1849
256,2081
63,2706
63,2477
159,199
59,3001
343,2531
334,2711
5,1452
982,1700
22,2853
92,2360
412,1318
742,1193
19,340
5,2620
66,1849
580,2299
735,1190
122,2387
15,46
445,1845
390,1909
1257,1531
178,225
59,1028
23,1334
255,2660
217,2139
227,575
130,2894
135,2972
190,693
264,2628
146,2838
411,1335
378,1912
777,1429
217,274
334,859
236,287
320,924
951,1959
134,276
464,1090
123,2975
451,1794
21,2735
399,1338
3,1109
8,1453
120,233
44,1635
42,3023
178,1635
431,1815
66,1165
129,2911
250,693
236,529
628,1282
683,989
163,1219
268,2467
393,1681
124,2688
8,298
274,1171
1110,1443
8,1466
388,1687
133,2400
317,760
626,1744
717,1633
383,2511
75,180
51,3004
455,1633
4,1697
186,2411
122,2884
29,478
323,430
32,1944
37,3042
69,2994
611,833
359,2275
42,2110
1193,1454
267,2457
12,1184
13,1823
216,2411
262,1295
331,900
88,1179
315,2353
414,2103
25,3045
44,3058
168,384
400,1939
319,782
62,1126
375,1357
13,2173
336,1365
735,882
124,2943
36,2830
406,1609
436,1488
195,379
969,1988
26,1324
17,1541
476,2055
82,2424
119,2949
64,3013
19,1550
26,2492
325,839
42,2473
355,2704
7,1432
108,2009
337,849
75,1603
596,780
391,1314
81,334
284,959
557,2020
94,3013
572,837
111,213
264,2441
797,955
143,2380
201,372
454,2538
73,2846
255,2594
21,2427
298,978
12,621
22,1043
138,208
234,670
764,1653
21,562
7,398
356,2272
33,3016
14,2508
1416,1471
1140,1536
507,1623
455,1433
247,272
598,987
374,2262
651,850
318,2367
39,2686
259,511
11,1163
1014,1841
14,2629
19,2973
36,173
41,2503
113,2379
806,2077
159,2495
71,2382
411,464
226,2670
160,589
206,705
135,1993
38,111
174,938
776,2026
0,1805
84,2442
794,2080
116,2919
1223,1439
483,1629
256,2404
16,2917
88,2039
95,2981
363,1978
55,1596
662,2274
746,1221
334,2445
224,358
855,1393
36,307
82,1177
285,1011
372,1690
167,238
1,434
548,832
152,2818
28,1062
532,595
349,888
46,887
20,1881
44,2992
443,2509
319,2702
324,831
181,257
501,1696
2,2995
2,551
339,1368
342,885
1178,1386
1197,1399
22,1432
1133,1643
548,724
4,2812
76,1897
17,307
101,1432
73,1599
387,2698
13,1999
49,195
11,1889
288,477
449,839
280,1296
464,1642
567,2292
329,1417
9,2001
253,375
120,785
350,1476
326,890
1,1736
457,555
338,1358
364,2313
350,2415
88,429
296,1132
779,1774
385,2372
273,1148
11,1902
297,953
321,1310
